Date,Name,Year,Letterboxd URI,Rating
2021-01-28,Ferris Bueller's Day Off,1986,https://boxd.it/1YPY,3.5
2021-01-28,The Breakfast Club,1985,https://boxd.it/27q4,4
2021-01-28,Return of the Jedi,1983,https://boxd.it/27Vm,3.5
2021-01-28,E.T. the Extra-Terrestrial,1982,https://boxd.it/2a1G,3.5
2021-01-28,Rocky,1976,https://boxd.it/28Uk,3
2021-01-28,To Kill a Mockingbird,1962,https://boxd.it/2a2E,3.5
2021-01-28,Rebel Without a Cause,1955,https://boxd.it/2aQu,3.5
2021-01-29,His House,2020,https://boxd.it/l8Qq,4
2021-01-30,Infinity Chamber,2016,https://boxd.it/fceo,3
2021-01-30,Peter Pan,2003,https://boxd.it/1VQY,3
2021-01-31,The Guest,2014,https://boxd.it/76RS,3.5
2021-02-01,Horse Girl,2020,https://boxd.it/oioi,3.5
2021-02-03,Blow the Man Down,2019,https://boxd.it/lzJ2,4
2021-02-03,Apostle,2018,https://boxd.it/f0so,3.5
2021-02-04,Your Name.,2016,https://boxd.it/cUqs,3
2021-02-05,Contact,1997,https://boxd.it/29OM,4
2021-02-07,The Sacrament,2013,https://boxd.it/6iEY,3
2021-02-07,The Wind Rises,2013,https://boxd.it/4JQS,4
2021-02-07,The Lost World: Jurassic Park,1997,https://boxd.it/2azS,3
2021-02-07,Jurassic World: Fallen Kingdom,2018,https://boxd.it/bOnU,2.5
2021-02-07,Jurassic Park III,2001,https://boxd.it/2azI,2
2021-02-07,Possessor,2020,https://boxd.it/fsJW,4
2021-02-10,First Cow,2019,https://boxd.it/krga,4.5
2021-02-11,The Endless,2017,https://boxd.it/ffyw,4
2021-02-11,Only God Forgives,2013,https://boxd.it/2HBs,5
2021-02-11,Across the Universe,2007,https://boxd.it/23X4,3
2021-02-12,The King,2019,https://boxd.it/ieZs,4
2021-02-13,Resolution,2012,https://boxd.it/41hY,4
2021-02-13,Beyond the Line,2020,https://boxd.it/sG8m,4
2021-02-13,Leave Me Be,2020,https://boxd.it/sCBk,3
2021-02-14,Death by Hanging,1968,https://boxd.it/3nPm,5
2021-02-14,The Butterfly Affect,2019,https://boxd.it/qB0S,2.5
2021-02-14,Harry Kiri,2019,https://boxd.it/mwxE,5
2021-02-14,A Family That Steals Dogs,2020,https://boxd.it/sUDS,5
2021-02-14,Green Grass,2020,https://boxd.it/spUo,4
2021-02-14,Kapaemahu,2020,https://boxd.it/qFea,4
2021-02-14,Let's Eat,2020,https://boxd.it/s5pA,3
2021-02-14,Benevolent Ba,2020,https://boxd.it/olGY,5
2021-02-14,It's Okay,2020,https://boxd.it/sflS,4
